farm_id,month,crop_yield_kg,fertilizer_used_kg,pesticide_cost,revenue_generated,yield_category,zone,crop_type,acreage,soil_type,installed_guardneer,install_date,farmer_name,farmer_phone,govt_subsidy_eligible,ph_level,salinity_ppm,EC,moisture_percent,organic_matter_percent,yield_per_acre,guardneer_effectiveness_score,profit_per_acre,liters_per_day_per_acre,irrigation_need_gap,reliability_score,soil_health_index
FARM_0000,2024-01-01,6289,16.8,678.93,43621.21,Medium,Satara,Sugarcane,5.2,Sandy,No,2024-01-21,Farmer_0000,9169864339,Yes,7.15,579,979,17.3,1.89,1209.423076923077,,8388.69423076923,2499.792899408284,1.0769230769230769,,-136.213
FARM_0000,2024-02-01,6226,9.9,246.47,69712.88,Medium,Satara,Sugarcane,5.2,Sandy,No,2024-01-21,Farmer_0000,9169864339,Yes,7.46,836,1003,15.3,3.92,1197.3076923076924,,13406.323076923078,2499.792899408284,1.0769230769230769,,-213.504
FARM_0000,2024-03-01,6397,8.2,975.93,70332.81,Medium,Satara,Sugarcane,5.2,Sandy,No,2024-01-21,Farmer_0000,9169864339,Yes,6.86,681,757,19.6,2.81,1230.1923076923076,,13525.540384615384,2499.792899408284,1.0769230769230769,,-165.617
FARM_0000,2024-04-01,6316,10.5,345.46,44846.3,Medium,Satara,Sugarcane,5.2,Sandy,No,2024-01-21,Farmer_0000,9169864339,Yes,6.86,341,737,24.2,1.85,1214.6153846153843,,8624.288461538461,2499.792899408284,1.0769230769230769,,-62.065
FARM_0000,2024-05-01,6264,13.2,432.98,60579.88,Medium,Satara,Sugarcane,5.2,Sandy,No,2024-01-21,Farmer_0000,9169864339,Yes,6.73,388,1143,18.0,2.79,1204.6153846153843,,11649.976923076922,2499.792899408284,1.0769230769230769,,-78.36299999999999
FARM_0000,2024-06-01,6048,9.7,433.72,49582.54,Medium,Satara,Sugarcane,5.2,Sandy,No,2024-01-21,Farmer_0000,9169864339,Yes,6.93,518,872,24.1,1.93,1163.076923076923,,9535.103846153846,2499.792899408284,1.0769230769230769,,-115.181
FARM_0001,2024-01-01,3376,10.4,611.39,32255.95,Medium,Jalgoan,Soybean,3.4,Loamy,No,2024-01-24,Farmer_0001,9799999041,No,6.82,556,729,16.8,2.74,992.9411764705884,,9487.04411764706,1803.972204266322,-13.505494505494505,,-129.25799999999998
FARM_0001,2024-02-01,3207,8.6,686.04,22523.23,Medium,Jalgoan,Soybean,3.4,Loamy,No,2024-01-24,Farmer_0001,9799999041,No,7.56,723,605,19.7,2.8,943.2352941176472,,6624.479411764706,1803.972204266322,-13.505494505494505,,-178.18
FARM_0001,2024-03-01,3169,16.2,552.12,21334.43,Medium,Jalgoan,Soybean,3.4,Loamy,No,2024-01-24,Farmer_0001,9799999041,No,6.6,629,997,16.3,1.99,932.0588235294118,,6274.832352941176,1803.972204266322,-13.505494505494505,,-151.58299999999997
FARM_0001,2024-04-01,3200,13.9,227.51,36658.95,Medium,Jalgoan,Soybean,3.4,Loamy,No,2024-01-24,Farmer_0001,9799999041,No,7.05,582,789,20.8,2.18,941.1764705882354,,10782.044117647058,1803.972204266322,-13.505494505494505,,-135.626
